STATIONS_ID,BEZUGSDATUM_SYNOP,MESSZEITPUNKT,QN_1,AE_GB_POS,AE_GL_POS,AE_GPM,AE_P,AE_TT,AE_RF,AE_TD,AE_FF,AE_DD,eor
4928,2021060112,0,-999,48.83,9.2,323,979.8,21.8,33,4.8,5.5,135,eor
4928,2021060112,2,-999,48.83,9.2,347,977,19.3,33,2.9,2.8,109,eor
4928,2021060112,4,-999,48.83,9.2,359,975.7,19.2,33,2.8,3,104,eor
4928,2021060112,6,-999,48.83,9.2,374,973.8,19.2,33,2.6,3.4,103,eor
4928,2021060112,8,-999,48.83,9.2,393,971.8,19.2,33,2.7,3.6,100,eor
4928,2021060112,10,-999,48.83,9.2,412,969.9,19.3,33,2.8,3.9,98,eor
4928,2021060112,12,-999,48.83,9.2,428,968.1,19.1,33,2.6,4.1,96,eor
4928,2021060112,14,-999,48.83,9.2,439,966.5,18.7,33,2.3,4.2,94,eor
4928,2021060112,16,-999,48.83,9.2,454,964.8,18.3,34,2.1,4.3,93,eor
4928,2021060112,18,-999,48.83,9.2,469,963.1,18.2,34,2.2,4.3,92,eor
4928,2021060112,20,-999,48.83,9.2,486,961.2,18,34,2,4.2,92,eor
4928,2021060112,22,-999,48.83,9.2,503,959.3,17.6,35,1.9,4.1,92,eor
4928,2021060112,24,-999,48.83,9.2,521,957.3,17.5,35,2,4,93,eor
4928,2021060112,26,-999,48.83,9.2,540,955.2,17.4,35,2,3.8,95,eor
4928,2021060112,28,-999,48.83,9.2,560,953.2,17.2,36,2,3.5,98,eor
4928,2021060112,30,-999,48.83,9.2,577,951.2,17.1,36,1.9,3.3,102,eor
4928,2021060112,32,-999,48.83,9.2,594,949.3,16.9,36,1.8,3.1,106,eor
4928,2021060112,34,-999,48.83,9.2,610,947.3,16.7,37,1.9,2.9,111,eor
4928,2021060112,36,-999,48.83,9.2,628,945.4,16.7,37,2.1,2.8,116,eor
4928,2021060112,38,-999,48.83,9.2,646,943.3,16.7,38,2.1,2.7,121,eor
4928,2021060112,40,-999,48.83,9.2,667,941.2,16.4,38,2,2.7,126,eor
4928,2021060112,42,-999,48.83,9.2,685,939,16.2,38,2,2.7,129,eor
4928,2021060112,44,-999,48.83,9.2,705,936.9,16,39,2.1,2.7,132,eor
4928,2021060112,46,-999,48.83,9.2,725,934.8,16,39,2.2,2.7,133,eor
4928,2021060112,48,-999,48.83,9.2,744,932.6,15.8,39,2.1,2.8,133,eor
4928,2021060112,50,-999,48.83,9.2,763,930.6,15.6,40,2,2.9,133,eor
4928,2021060112,52,-999,48.83,9.2,781,928.6,15.2,40,1.9,3.1,131,eor
4928,2021060112,54,-999,48.83,9.2,798,926.7,14.9,41,1.7,3.3,129,eor
4928,2021060112,56,-999,48.83,9.2,815,924.8,14.8,41,1.8,3.5,127,eor
4928,2021060112,58,-999,48.83,9.2,833,922.8,14.7,42,1.8,3.7,125,eor
4928,2021060112,60,-999,48.83,9.2,852,920.8,14.5,42,1.7,4,122,eor
4928,2021060112,62,-999,48.83,9.2,870,918.8,14.3,42,1.6,4.3,120,eor
4928,2021060112,64,-999,48.83,9.2,888,916.9,14.1,43,1.6,4.7,118,eor
4928,2021060112,66,-999,48.83,9.2,905,915.1,13.8,43,1.4,5,116,eor
4928,2021060112,68,-999,48.83,9.2,922,913.5,13.5,43,1.3,5.3,114,eor
4928,2021060112,70,-999,48.83,9.2,935,912,13.4,44,1.4,5.5,112,eor
4928,2021060112,72,-999,48.83,9.2,944,910.7,13.3,44,1.3,5.7,110,eor
4928,2021060112,74,-999,48.83,9.2,956,909.6,13.1,44,1.3,5.9,108,eor
4928,2021060112,76,-999,48.83,9.2,966,908.5,12.9,45,1.2,6.1,106,eor
4928,2021060112,78,-999,48.83,9.2,974,907.4,12.8,45,1.2,6.2,104,eor
4928,2021060112,80,-999,48.83,9.2,985,906.2,12.7,45,1.1,6.3,102,eor
4928,2021060112,82,-999,48.83,9.2,998,905,12.6,45,1,6.4,100,eor
4928,2021060112,84,-999,48.83,9.2,1009,903.8,12.5,46,1.1,6.4,99,eor
4928,2021060112,86,-999,48.83,9.2,1021,902.5,12.4,46,1.2,6.4,97,eor
4928,2021060112,88,-999,48.83,9.2,1033,901.4,12.3,46,1.1,6.5,96,eor
4928,2021060112,90,-999,48.83,9.2,1041,900.4,12.2,47,1.1,6.5,95,eor
4928,2021060112,92,-999,48.83,9.2,1049,899.5,12.1,47,1.1,6.5,95,eor
4928,2021060112,94,-999,48.83,9.2,1056,898.7,12,47,1,6.6,95,eor
4928,2021060112,96,-999,48.83,9.2,1064,897.9,12,47,1,6.7,95,eor
4928,2021060112,98,-999,48.83,9.19,1071,897.1,11.9,47,1,6.8,96,eor
4928,2021060112,100,-999,48.83,9.19,1078,896.3,11.8,47,1,6.9,96,eor
4928,2021060112,102,-999,48.83,9.19,1085,895.5,11.8,48,1,7,97,eor
4928,2021060112,104,-999,48.83,9.19,1094,894.5,11.7,48,1,7.1,98,eor
4928,2021060112,106,-999,48.83,9.19,1104,893.4,11.6,48,1,7.2,99,eor
4928,2021060112,108,-999,48.83,9.19,1117,892.2,11.5,48,0.9,7.4,100,eor
4928,2021060112,110,-999,48.83,9.19,1128,891,11.3,48,0.9,7.5,100,eor
4928,2021060112,112,-999,48.83,9.19,1139,889.9,11.3,49,0.8,7.6,101,eor
4928,2021060112,114,-999,48.83,9.19,1149,888.9,11.2,49,0.8,7.6,101,eor
4928,2021060112,116,-999,48.83,9.19,1157,888,11.1,49,0.8,7.7,102,eor
4928,2021060112,118,-999,48.83,9.19,1164,887.1,11.1,49,0.9,7.7,102,eor
4928,2021060112,120,-999,48.83,9.19,1173,886.2,11,50,0.8,7.8,103,eor
4928,2021060112,122,-999,48.83,9.19,1181,885.2,10.9,50,0.8,7.8,103,eor
4928,2021060112,124,-999,48.83,9.19,1191,884.3,10.8,50,0.8,7.7,104,eor
4928,2021060112,126,-999,48.83,9.19,1200,883.2,10.7,50,0.7,7.7,104,eor
4928,2021060112,128,-999,48.83,9.19,1210,882.1,10.6,50,0.7,7.6,105,eor
4928,2021060112,130,-999,48.83,9.19,1222,880.9,10.4,51,0.8,7.5,105,eor
4928,2021060112,132,-999,48.83,9.19,1235,879.7,10.3,51,0.7,7.4,106,eor
4928,2021060112,134,-999,48.83,9.19,1246,878.6,10.2,51,0.6,7.2,107,eor
4928,2021060112,136,-999,48.83,9.19,1254,877.5,10.1,52,0.6,7.1,107,eor
4928,2021060112,138,-999,48.83,9.19,1265,876.4,10,52,0.7,6.9,108,eor
4928,2021060112,140,-999,48.83,9.19,1276,875.3,9.9,52,0.6,6.8,109,eor
4928,2021060112,142,-999,48.83,9.19,1286,874.1,9.8,53,0.7,6.7,109,eor
4928,2021060112,144,-999,48.83,9.19,1299,872.9,9.7,53,0.7,6.6,110,eor
4928,2021060112,146,-999,48.83,9.19,1310,871.8,9.6,53,0.6,6.5,110,eor
4928,2021060112,148,-999,48.83,9.19,1320,870.6,9.5,54,0.6,6.4,110,eor
4928,2021060112,150,-999,48.83,9.19,1331,869.5,9.4,54,0.6,6.3,110,eor
4928,2021060112,152,-999,48.83,9.19,1341,868.4,9.3,55,0.6,6.3,109,eor
4928,2021060112,154,-999,48.83,9.19,1351,867.3,9.2,55,0.5,6.3,109,eor
4928,2021060112,156,-999,48.83,9.19,1363,866.1,9,55,0.5,6.3,108,eor
4928,2021060112,158,-999,48.83,9.19,1376,864.8,8.9,55,0.5,6.3,107,eor
4928,2021060112,160,-999,48.83,9.19,1388,863.4,8.8,56,0.5,6.3,106,eor
4928,2021060112,162,-999,48.83,9.19,1402,862.1,8.7,56,0.5,6.3,105,eor
4928,2021060112,164,-999,48.83,9.19,1416,860.7,8.6,56,0.4,6.3,104,eor
4928,2021060112,166,-999,48.83,9.19,1428,859.3,8.5,57,0.4,6.3,104,eor
4928,2021060112,168,-999,48.83,9.19,1442,858,8.3,57,0.4,6.3,103,eor
4928,2021060112,170,-999,48.83,9.19,1454,856.7,8.2,58,0.4,6.3,102,eor
4928,2021060112,172,-999,48.83,9.19,1465,855.4,8.1,58,0.4,6.3,102,eor
4928,2021060112,174,-999,48.83,9.19,1480,854.1,8,59,0.4,6.2,102,eor
4928,2021060112,176,-999,48.83,9.19,1490,852.8,7.9,59,0.3,6.2,102,eor
4928,2021060112,178,-999,48.83,9.19,1505,851.4,7.7,59,0.4,6.1,102,eor
4928,2021060112,180,-999,48.83,9.19,1518,850,7.6,60,0.3,6,102,eor
4928,2021060112,182,-999,48.83,9.19,1532,848.6,7.5,60,0.3,6,102,eor
4928,2021060112,184,-999,48.83,9.19,1548,847.1,7.3,61,0.2,5.9,102,eor
4928,2021060112,186,-999,48.83,9.19,1560,845.7,7.2,61,0.1,5.7,101,eor
4928,2021060112,188,-999,48.83,9.19,1573,844.3,7.1,61,0.2,5.5,101,eor
4928,2021060112,190,-999,48.83,9.19,1588,842.8,6.9,62,0.2,5.3,101,eor
4928,2021060112,192,-999,48.83,9.19,1602,841.4,6.8,62,0.1,5.1,100,eor
4928,2021060112,194,-999,48.83,9.19,1617,839.8,6.7,63,0.1,4.8,99,eor
4928,2021060112,196,-999,48.83,9.19,1632,838.2,6.5,63,0.1,4.5,98,eor
4928,2021060112,198,-999,48.83,9.19,1650,836.6,6.3,64,0.1,4.2,96,eor
4928,2021060112,200,-999,48.83,9.19,1666,834.9,6.2,65,-0.1,3.9,94,eor
4928,2021060112,202,-999,48.83,9.19,1682,833.3,6.1,65,-0.1,3.6,92,eor
4928,2021060112,204,-999,48.83,9.19,1698,831.7,5.9,66,-0.1,3.3,90,eor
4928,2021060112,206,-999,48.83,9.19,1712,830.1,5.8,66,-0.1,3.1,88,eor
4928,2021060112,208,-999,48.83,9.19,1729,828.5,5.6,67,0.1,3,86,eor
4928,2021060112,210,-999,48.83,9.19,1746,826.9,5.5,68,-0.1,2.9,84,eor
4928,2021060112,212,-999,48.83,9.19,1761,825.4,5.3,68,-0.2,2.8,84,eor
4928,2021060112,214,-999,48.83,9.19,1774,824,5.2,68,-0.3,2.9,84,eor
4928,2021060112,216,-999,48.83,9.19,1787,822.7,5.1,69,-0.3,3,85,eor
4928,2021060112,218,-999,48.83,9.19,1799,821.4,4.9,70,-0.3,3.1,87,eor
4928,2021060112,220,-999,48.83,9.19,1812,820.2,4.8,70,-0.2,3.3,90,eor
4928,2021060112,222,-999,48.83,9.19,1825,819.1,4.7,71,-0.2,3.5,92,eor
4928,2021060112,224,-999,48.83,9.19,1832,818.1,4.7,71,-0.3,3.7,95,eor
4928,2021060112,226,-999,48.83,9.18,1841,817.2,4.6,71,-0.3,3.9,97,eor
4928,2021060112,228,-999,48.83,9.18,1849,816.3,4.5,71,-0.3,4.1,99,eor
4928,2021060112,230,-999,48.83,9.18,1858,815.4,4.4,72,-0.3,4.3,101,eor
4928,2021060112,232,-999,48.83,9.18,1868,814.4,4.3,73,-0.2,4.5,103,eor
4928,2021060112,234,-999,48.83,9.18,1878,813.4,4.2,73,-0.3,4.6,104,eor
4928,2021060112,236,-999,48.83,9.18,1890,812.4,4.1,73,-0.3,4.7,105,eor
4928,2021060112,238,-999,48.83,9.18,1899,811.5,4,73,-0.4,4.8,106,eor
4928,2021060112,240,-999,48.83,9.18,1908,810.5,3.9,74,-0.5,4.9,106,eor
4928,2021060112,242,-999,48.83,9.18,1917,809.5,3.8,74,-0.4,5,106,eor
4928,2021060112,244,-999,48.83,9.18,1929,808.4,3.7,75,-0.4,5.1,106,eor
4928,2021060112,246,-999,48.83,9.18,1941,807.2,3.6,72,-1,5.1,105,eor
4928,2021060112,248,-999,48.83,9.18,1954,805.9,3.9,59,-3.6,5.2,104,eor
4928,2021060112,250,-999,48.83,9.18,1968,804.6,4.2,54,-4.5,5.3,104,eor
4928,2021060112,252,-999,48.83,9.18,1982,803.3,4.7,37,-8.8,5.3,103,eor
4928,2021060112,254,-999,48.83,9.18,1993,802.2,5.5,20,-15.8,5.4,102,eor
4928,2021060112,256,-999,48.83,9.18,2003,801.1,5.6,20,-15.6,5.4,102,eor
4928,2021060112,258,-999,48.83,9.18,2013,800.1,5.6,18,-16.8,5.5,102,eor
4928,2021060112,260,-999,48.83,9.18,2025,799,5.6,17,-17.7,5.6,102,eor
4928,2021060112,262,-999,48.83,9.18,2036,798,5.6,17,-17.9,5.6,102,eor
4928,2021060112,264,-999,48.83,9.18,2045,797,5.7,15,-18.9,5.6,103,eor
4928,2021060112,266,-999,48.83,9.18,2055,796.1,5.5,17,-17.8,5.6,104,eor
4928,2021060112,268,-999,48.83,9.18,2063,795.2,5.4,17,-18,5.6,104,eor
4928,2021060112,270,-999,48.83,9.18,2072,794.4,5.4,16,-18.7,5.6,105,eor
4928,2021060112,272,-999,48.83,9.18,2080,793.6,5.4,14,-19.9,5.6,105,eor
4928,2021060112,274,-999,48.83,9.18,2088,792.7,5.4,13,-20.8,5.5,105,eor
4928,2021060112,276,-999,48.83,9.18,2097,791.9,5.4,13,-21.2,5.4,104,eor
4928,2021060112,278,-999,48.83,9.18,2107,791,5.4,12,-21.9,5.3,104,eor
4928,2021060112,280,-999,48.83,9.18,2115,790.2,5.6,10,-23.4,5.1,103,eor
4928,2021060112,282,-999,48.83,9.18,2124,789.3,5.8,10,-23.9,4.9,102,eor
4928,2021060112,284,-999,48.83,9.18,2133,788.4,5.9,10,-24,4.7,100,eor
4928,2021060112,286,-999,48.83,9.18,2143,787.4,6.1,9,-24.2,4.5,99,eor
4928,2021060112,288,-999,48.83,9.18,2153,786.4,6.1,9,-24.3,4.3,98,eor
4928,2021060112,290,-999,48.83,9.18,2164,785.3,6.1,9,-24.3,4.1,98,eor
4928,2021060112,292,-999,48.83,9.18,2177,784.1,6,9,-24.4,3.8,98,eor
4928,2021060112,294,-999,48.83,9.18,2192,782.9,5.9,9,-24.4,3.6,98,eor
4928,2021060112,296,-999,48.83,9.18,2204,781.7,5.8,9,-24.4,3.4,100,eor
4928,2021060112,298,-999,48.83,9.18,2215,780.6,5.8,9,-24.5,3.3,103,eor
4928,2021060112,300,-999,48.83,9.18,2226,779.4,5.8,9,-24.7,3.2,106,eor
4928,2021060112,302,-999,48.83,9.18,2240,778.3,5.9,9,-24.9,3.1,110,eor
4928,2021060112,304,-999,48.83,9.18,2251,777.2,5.9,9,-24.9,3.1,113,eor
4928,2021060112,306,-999,48.83,9.18,2262,776.1,5.9,9,-25,3.1,116,eor
4928,2021060112,308,-999,48.83,9.18,2273,775.1,5.8,9,-25,3.2,119,eor
4928,2021060112,310,-999,48.83,9.18,2283,774.2,5.8,9,-25,3.3,121,eor
4928,2021060112,312,-999,48.83,9.18,2292,773.2,5.7,9,-25,3.4,121,eor
4928,2021060112,314,-999,48.83,9.18,2301,772.2,5.6,9,-25.1,3.5,121,eor
4928,2021060112,316,-999,48.83,9.18,2314,771.2,5.5,9,-25.2,3.6,120,eor
4928,2021060112,318,-999,48.83,9.18,2325,770.3,5.5,9,-25.4,3.7,119,eor
4928,2021060112,320,-999,48.83,9.18,2334,769.4,5.5,9,-25.6,3.8,117,eor
4928,2021060112,322,-999,48.83,9.18,2342,768.5,5.5,9,-25.6,3.8,114,eor
4928,2021060112,324,-999,48.83,9.18,2352,767.7,5.4,9,-25.6,3.9,111,eor
4928,2021060112,326,-999,48.83,9.18,2359,766.9,5.3,9,-25.6,3.9,109,eor
4928,2021060112,328,-999,48.83,9.18,2367,766.2,5.3,9,-25.8,3.9,106,eor
4928,2021060112,330,-999,48.83,9.18,2375,765.4,5.3,8,-26,3.9,103,eor
4928,2021060112,332,-999,48.83,9.18,2382,764.7,5.3,8,-26.5,3.9,100,eor
4928,2021060112,334,-999,48.83,9.18,2390,763.9,5.3,8,-26.7,3.9,98,eor
4928,2021060112,336,-999,48.83,9.18,2399,763.1,5.3,8,-27.1,3.9,95,eor
4928,2021060112,338,-999,48.83,9.18,2408,762.3,5.2,7,-27.3,3.9,93,eor
4928,2021060112,340,-999,48.83,9.18,2417,761.4,5.2,7,-27.4,3.9,92,eor
4928,2021060112,342,-999,48.83,9.18,2427,760.6,5.1,7,-27.4,3.9,91,eor
4928,2021060112,344,-999,48.83,9.18,2436,759.8,5,7,-27.5,3.8,90,eor
4928,2021060112,346,-999,48.83,9.18,2442,759,5,7,-27.6,3.8,89,eor
4928,2021060112,348,-999,48.83,9.18,2451,758.2,4.9,7,-27.6,3.7,88,eor
4928,2021060112,350,-999,48.83,9.18,2462,757.3,4.9,7,-27.6,3.7,88,eor
4928,2021060112,352,-999,48.83,9.18,2472,756.4,4.8,7,-27.7,3.6,87,eor
4928,2021060112,354,-999,48.83,9.18,2482,755.5,4.7,8,-27.6,3.6,87,eor
4928,2021060112,356,-999,48.83,9.18,2492,754.6,4.6,8,-27.4,3.5,87,eor
4928,2021060112,358,-999,48.83,9.18,2501,753.7,4.6,8,-27.1,3.5,86,eor
4928,2021060112,360,-999,48.83,9.18,2510,752.8,4.5,8,-26.8,3.4,86,eor
4928,2021060112,362,-999,48.83,9.18,2519,752,4.4,8,-26.7,3.4,85,eor
4928,2021060112,364,-999,48.83,9.18,2528,751,4.4,8,-26.6,3.4,84,eor
4928,2021060112,366,-999,48.83,9.18,2539,750.1,4.3,9,-26.2,3.4,83,eor
4928,2021060112,368,-999,48.83,9.18,2551,749,4.2,9,-25.9,3.5,83,eor
4928,2021060112,370,-999,48.83,9.18,2563,748,4.2,9,-26.6,3.5,82,eor
4928,2021060112,372,-999,48.83,9.18,2575,747,4.1,8,-27.4,3.6,81,eor
4928,2021060112,374,-999,48.83,9.18,2585,746,4.1,8,-27.5,3.7,81,eor
4928,2021060112,376,-999,48.83,9.18,2594,745.2,4.2,8,-27.7,3.8,81,eor
4928,2021060112,378,-999,48.83,9.18,2601,744.5,4.2,8,-27.8,3.8,81,eor
4928,2021060112,380,-999,48.83,9.18,2607,743.8,4.2,8,-27.9,3.9,81,eor
4928,2021060112,382,-999,48.83,9.18,2615,743,4.2,8,-27.9,3.9,81,eor
4928,2021060112,384,-999,48.83,9.18,2625,742.1,4.1,8,-28,3.9,82,eor
4928,2021060112,386,-999,48.83,9.18,2639,741.1,4,7,-28.4,3.9,83,eor
4928,2021060112,388,-999,48.83,9.18,2647,740.1,4,7,-28.7,3.8,84,eor
4928,2021060112,390,-999,48.83,9.18,2658,739.1,3.9,7,-28.8,3.7,86,eor
4928,2021060112,392,-999,48.83,9.18,2671,738.1,3.9,7,-29.2,3.6,88,eor
4928,2021060112,394,-999,48.83,9.18,2682,737.1,3.9,7,-29.3,3.5,89,eor
4928,2021060112,396,-999,48.83,9.18,2693,736.2,3.9,7,-29.3,3.4,92,eor
4928,2021060112,398,-999,48.83,9.18,2702,735.3,3.8,7,-29.1,3.3,94,eor
4928,2021060112,400,-999,48.83,9.18,2710,734.4,3.8,7,-29.1,3.3,96,eor
4928,2021060112,402,-999,48.83,9.18,2720,733.4,3.7,7,-29.5,3.2,98,eor
4928,2021060112,404,-999,48.83,9.18,2735,732.4,3.7,6,-30,3.2,101,eor
4928,2021060112,406,-999,48.83,9.17,2746,731.4,3.8,6,-30.4,3.2,102,eor
4928,2021060112,408,-999,48.83,9.17,2755,730.5,3.8,6,-31.2,3.1,104,eor
4928,2021060112,410,-999,48.83,9.17,2763,729.7,3.8,6,-31.2,3.1,106,eor
4928,2021060112,412,-999,48.83,9.17,2772,728.9,3.7,6,-31.1,3.1,107,eor
4928,2021060112,414,-999,48.83,9.17,2781,728.1,3.6,6,-31.2,3.1,109,eor
4928,2021060112,416,-999,48.83,9.17,2790,727.3,3.6,6,-31.6,3.1,110,eor
4928,2021060112,418,-999,48.83,9.17,2798,726.5,3.6,6,-31.7,3.1,112,eor
4928,2021060112,420,-999,48.83,9.17,2807,725.7,3.5,6,-31.4,3.1,114,eor
4928,2021060112,422,-999,48.83,9.17,2816,724.9,3.5,6,-31.1,3.1,115,eor
4928,2021060112,424,-999,48.83,9.17,2826,723.9,3.4,6,-30.8,3.2,117,eor
4928,2021060112,426,-999,48.83,9.17,2838,722.9,3.3,6,-30.4,3.3,119,eor
4928,2021060112,428,-999,48.83,9.17,2852,721.9,3.2,6,-30.5,3.4,120,eor
4928,2021060112,430,-999,48.83,9.17,2863,720.9,3.1,6,-30.6,3.6,122,eor
4928,2021060112,432,-999,48.83,9.17,2870,720.1,3,6,-30.5,3.8,123,eor
4928,2021060112,434,-999,48.83,9.17,2879,719.2,3,7,-30.1,4,123,eor
4928,2021060112,436,-999,48.83,9.17,2889,718.4,2.9,7,-29.1,4.2,123,eor
4928,2021060112,438,-999,48.83,9.17,2900,717.5,2.8,9,-26.9,4.4,123,eor
4928,2021060112,440,-999,48.83,9.17,2910,716.7,2.7,11,-25.3,4.6,123,eor
4928,2021060112,442,-999,48.83,9.17,2918,715.8,2.6,12,-24.2,4.8,123,eor
4928,2021060112,444,-999,48.83,9.17,2928,715,2.5,13,-23.1,4.9,122,eor
4928,2021060112,446,-999,48.83,9.17,2938,714.1,2.4,15,-22,4.9,121,eor
4928,2021060112,448,-999,48.83,9.17,2950,713.2,2.3,15,-21.9,4.9,120,eor
4928,2021060112,450,-999,48.83,9.17,2959,712.3,2.2,15,-21.8,4.8,119,eor
4928,2021060112,452,-999,48.83,9.17,2967,711.5,2.1,15,-21.9,4.7,117,eor
4928,2021060112,454,-999,48.83,9.17,2975,710.7,2,15,-21.9,4.5,116,eor
4928,2021060112,456,-999,48.83,9.17,2984,709.9,2,15,-22.4,4.3,114,eor
4928,2021060112,458,-999,48.83,9.17,2997,708.9,1.9,13,-23.7,4.1,111,eor
4928,2021060112,460,-999,48.83,9.17,3010,708,1.8,12,-24.8,3.9,109,eor
4928,2021060112,462,-999,48.83,9.17,3019,707.1,1.8,12,-24.9,3.7,106,eor
4928,2021060112,464,-999,48.83,9.17,3028,706.3,1.7,12,-25,3.6,103,eor
4928,2021060112,466,-999,48.83,9.17,3035,705.5,1.7,12,-24.8,3.5,100,eor
4928,2021060112,468,-999,48.83,9.17,3043,704.7,1.6,13,-24.4,3.5,98,eor
4928,2021060112,470,-999,48.83,9.17,3054,704,1.6,13,-24.4,3.5,97,eor
4928,2021060112,472,-999,48.83,9.17,3063,703.2,1.5,13,-24.5,3.6,97,eor
4928,2021060112,474,-999,48.83,9.17,3071,702.4,1.5,12,-24.6,3.7,97,eor
4928,2021060112,476,-999,48.83,9.17,3081,701.6,1.4,12,-24.8,3.8,98,eor
4928,2021060112,478,-999,48.83,9.17,3090,700.7,1.3,12,-25.1,4,100,eor
4928,2021060112,480,-999,48.83,9.17,3098,699.9,1.3,12,-25.5,4.1,102,eor
4928,2021060112,482,-999,48.83,9.17,3110,699,1.3,11,-26,4.3,105,eor
4928,2021060112,484,-999,48.83,9.17,3120,698.2,1.2,11,-26.2,4.4,108,eor
4928,2021060112,486,-999,48.83,9.17,3130,697.3,1.2,11,-26,4.5,111,eor
4928,2021060112,488,-999,48.83,9.17,3139,696.5,1.1,12,-25.7,4.6,114,eor
4928,2021060112,490,-999,48.83,9.17,3147,695.8,1,12,-25.1,4.7,116,eor
4928,2021060112,492,-999,48.83,9.17,3155,695,1,13,-24.3,4.7,119,eor
4928,2021060112,494,-999,48.83,9.17,3164,694.2,0.9,14,-24.1,4.8,121,eor
4928,2021060112,496,-999,48.83,9.17,3175,693.4,0.8,14,-24.1,4.7,123,eor
4928,2021060112,498,-999,48.83,9.17,3187,692.5,0.7,14,-23.9,4.7,124,eor
4928,2021060112,500,-999,48.83,9.17,3196,691.6,0.6,14,-23.9,4.6,124,eor
4928,2021060112,502,-999,48.83,9.17,3203,690.8,0.6,14,-23.8,4.5,125,eor
4928,2021060112,504,-999,48.83,9.17,3215,690,0.5,14,-23.7,4.4,124,eor
4928,2021060112,506,-999,48.83,9.17,3225,689.1,0.4,15,-23.8,4.3,124,eor
4928,2021060112,508,-999,48.83,9.17,3234,688.3,0.3,15,-23.7,4.2,123,eor
4928,2021060112,510,-999,48.83,9.17,3243,687.5,0.2,15,-23.5,4.1,123,eor
4928,2021060112,512,-999,48.83,9.17,3253,686.7,0.1,16,-23.1,4,122,eor
4928,2021060112,514,-999,48.83,9.17,3261,686,0.1,17,-22.1,3.9,121,eor
4928,2021060112,516,-999,48.83,9.17,3269,685.2,-0.1,19,-21.2,3.9,121,eor
4928,2021060112,518,-999,48.83,9.17,3280,684.3,-0.2,19,-20.9,4,121,eor
4928,2021060112,520,-999,48.83,9.17,3291,683.5,-0.3,19,-20.9,4.1,121,eor
4928,2021060112,522,-999,48.83,9.17,3301,682.7,-0.4,20,-20.7,4.2,121,eor
4928,2021060112,524,-999,48.83,9.17,3308,682,-0.5,20,-20.7,4.3,122,eor
4928,2021060112,526,-999,48.83,9.17,3315,681.3,-0.6,20,-20.6,4.4,122,eor
4928,2021060112,528,-999,48.83,9.17,3322,680.7,-0.6,21,-20.5,4.6,122,eor
4928,2021060112,530,-999,48.83,9.17,3330,679.9,-0.7,21,-20.4,4.7,121,eor
4928,2021060112,532,-999,48.83,9.17,3340,679.1,-0.8,21,-20.5,4.8,121,eor
4928,2021060112,534,-999,48.83,9.17,3353,678.2,-0.9,21,-20.7,4.9,120,eor
4928,2021060112,536,-999,48.83,9.17,3363,677.3,-1,20,-21.3,4.9,119,eor
4928,2021060112,538,-999,48.83,9.17,3373,676.6,-1,17,-22.8,4.9,117,eor
4928,2021060112,540,-999,48.83,9.17,3380,675.8,-0.9,15,-24.2,4.8,115,eor
4928,2021060112,542,-999,48.83,9.17,3387,675.1,-1,15,-24.1,4.7,114,eor
4928,2021060112,544,-999,48.83,9.17,3397,674.3,-1.1,16,-23.8,4.6,112,eor
4928,2021060112,546,-999,48.83,9.17,3408,673.4,-1.2,16,-23.7,4.4,110,eor
4928,2021060112,548,-999,48.83,9.17,3421,672.5,-1.2,17,-23.3,4.2,109,eor
4928,2021060112,550,-999,48.83,9.17,3431,671.6,-1.3,17,-23.4,4,108,eor
4928,2021060112,552,-999,48.83,9.17,3439,670.7,-1.3,16,-24.2,3.8,108,eor
4928,2021060112,554,-999,48.83,9.17,3451,669.8,-1.4,15,-24.6,3.6,109,eor
4928,2021060112,556,-999,48.83,9.17,3462,668.9,-1.5,15,-24.9,3.4,111,eor
4928,2021060112,558,-999,48.83,9.17,3473,668,-1.5,15,-25.2,3.2,114,eor
4928,2021060112,560,-999,48.83,9.17,3484,667.1,-1.6,14,-25.4,3.1,118,eor
4928,2021060112,562,-999,48.83,9.17,3493,666.3,-1.6,14,-25.6,3,123,eor
4928,2021060112,564,-999,48.83,9.17,3501,665.6,-1.7,14,-25.9,2.9,128,eor
4928,2021060112,566,-999,48.83,9.17,3512,664.8,-1.7,14,-26.1,2.9,133,eor
4928,2021060112,568,-999,48.83,9.17,3519,664.1,-1.7,13,-26.2,2.9,137,eor
4928,2021060112,570,-999,48.83,9.17,3527,663.4,-1.8,13,-26.3,2.9,141,eor
4928,2021060112,572,-999,48.83,9.17,3536,662.6,-1.9,13,-26.3,2.9,144,eor
4928,2021060112,574,-999,48.83,9.17,3548,661.8,-1.9,14,-26.2,2.9,146,eor
4928,2021060112,576,-999,48.83,9.17,3557,661,-2,14,-25.9,2.9,147,eor
4928,2021060112,578,-999,48.83,9.17,3566,660.3,-2.1,14,-25.7,2.8,148,eor
4928,2021060112,580,-999,48.83,9.17,3574,659.6,-2.1,15,-25.7,2.8,147,eor
4928,2021060112,582,-999,48.83,9.17,3581,658.9,-2.2,15,-25.5,2.7,145,eor
4928,2021060112,584,-999,48.83,9.17,3589,658.2,-2.3,15,-25.3,2.6,143,eor
4928,2021060112,586,-999,48.83,9.17,3598,657.5,-2.3,16,-25.1,2.5,140,eor
4928,2021060112,588,-999,48.83,9.17,3608,656.8,-2.4,16,-25,2.4,137,eor
